file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,updateCustomer/1[dto.CustomerDTO],false,32,3,7,0,7,1,6,3,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,generateNewID/0,false,49,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,deleteCustomer/1[java.lang.String],false,44,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,ifCustomerExist/1[java.lang.String],false,38,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,getAllCustomer/0,false,17,3,7,0,7,2,7,8,1,2,0,7,0,0,1,0,0,0,0,0,2,0,1,0,0,0,13,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\bo\custom\impl\CustomerBOImpl.java,bo.custom.impl.CustomerBOImpl,addCustomer/1[dto.CustomerDTO],false,27,3,7,0,7,1,6,3,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\dao\custom\QueryDAO.java,dao.custom.QueryDAO,getOrderDetailsFromOrderID/1[java.lang.String],false,10,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,"OrderTM/5[java.lang.String,java.lang.String,java.time.LocalDate,java.lang.String,double]",true,15,1,2,1,1,1,1,7,0,0,5,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,getCost/0,false,45,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setOrderId/1[java.lang.String],false,27,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setOrderTime/1[java.lang.String],false,41,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,getOrderDate/0,false,53,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,getCId/0,false,31,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setCost/1[double],false,49,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,getOrderTime/0,false,39,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,toString/0,false,62,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,6,0,0,2,0,0,0,0,11,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setCId/1[java.lang.String],false,35,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,setOrderDate/1[java.time.LocalDate],false,57,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,getOrderId/0,false,23,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\view\tm\OrderTM.java,view.tm.OrderTM,OrderTM/0,true,12,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\HP-Eli\Wholesale_Management_System-master\Wholesale_Management_System-master\src\controller\ItemListFormController.java,controller.ItemListFormController,ItemsUpdateOnAction/1[controller.ActionEvent],false,146,6,7,0,7,4,15,26,0,6,1,15,2,1,0,0,1,0,3,0,6,3,2,0,0,0,41,1,0,false
